index,AC,Cha,Con,Dex,HP,Int,Str,Type,Wis,alignment,chall,condImmunity,damImmunity,damVuln,languages,name,damResist,senses,size,speed
2,16.0,8 (-1),16 (+3),17 (+3),75.0,10 (+0),14 (+2),humanoid (lizalfos),13 (+1),neutral evil,3.0,,acid,,Lizal,Acid Lizalfos,,,Medium,"40 ft., climb 30 ft., swim 40 ft."
3,15.0,15 (+2),18 (+4),15 (+2),95.0,12 (+1),17 (+3),celestial,14 (+2),lawful good,5.0,"charmed, exhaustion, frightened",,,"Celestial, telepathy 60 ft.",Accolade (Type B),"radiant; bludgeoning, piercing and slashing damage from nonmagical attacks","darkvision 120 ft., ",Large,"50 ft., fly 50 ft."
4,14.0,11 (+0),16 (+3),15 (+2),45.0,11 (+0),15 (+2),celestial,13 (+1),lawful good,2.0,"charmed, exhaustion, frightened",,,"Celestial, Common",Acceptance,"radiant; bludgeoning, piercing and slashing damage from nonmagical attacks","darkvision 120 ft., ",Medium,"40 ft., fly 50 ft."
5,16.0,15 (+2),18 (+4),13 (+1),95.0,12 (+1),19 (+4),celestial,14 (+2),lawful good,5.0,"charmed, exhaustion, frightened",,,"Celestial, telepathy 60 ft.",Accolade (Type A),"radiant; bludgeoning, piercing and slashing damage from nonmagical attacks","darkvision 120 ft., ",Large,"50 ft., fly 50 ft."
8,12.0,5 (-3),13 (+1),10 (+0),52.0,5 (-3),15 (+2),beast,9 (-1),"beast, neutral",3.0,"paralyzed, stunned",acid,piercing,—,Acid Toad,poison,"darkvision 60 ft., ",Large,35 ft.
9,9.0,5 (-3),28 (+9),9 (-1),468.0,6 (-2),28 (+9),construct,10 (+0),"construct, neutral",14.0,"charmed, exhaustion, frightened, paralyzed, petrified, poisoned","lightning, poison; bludgeoning, piercing, and slashing from nonmagical attacks that aren't adamantine",fire,the languages of its creator,Abomination of Flesh (The Hanged Man),,"darkvision 120 ft., ",Gargantuan,15 ft.
10,14.0,11 (+0),16 (+3),17 (+3),37.0,6 (-2),15 (+2),monstrosity,5 (-3),chaotic evil,1.0,poisoned,poison,fire,"Abúhukü, Common",Abúhukü,necrotic,,Medium,"40 ft., climb 40 ft."
11,13.0,5 (-3),16 (+3),10 (+0),110.0,5 (-3),20 (+5),undead,10 (+0),neutral evil,7.0,"charmed, frightened, petrified, poisoned","necrotic, poison",,understands the languages of its creator but can't speak,Abyssal Terror,"bludgeoning, piercing, and slashing from nonmagical attacks","darkvision 60 ft., ",Large,"30 ft., fly 60 ft."
12,15.0,25 (+7),22 (+6),10 (+0),137.0,14 (+2),24 (+7),monstrosity,14 (+2),neutral evil,13.0,,cold,,"Common, Yeti",Abominable Yeti Mage,,"darkvision 60 ft., ",Huge,"40 ft., climb 40 ft."
13,20.0,16 (+3),20 (+5),15 (+2),172.0,16 (+3),24 (+7),dragon,23 (+6),chaotic evil,16.0,"blinded, charmed, frightened, poisoned","acid, fire, poison",,"Abyssal, Common, Draconic, Infernal",Abyssal Dragon,,"darkvision 120 ft., ",Huge,"40 ft., fly 60 ft."
16,18.0,21 (+5),22 (+6),21 (+5),276.0,18 (+4),22 (+6),fiend,18 (+4),lawful evil,18.0,"charmed, exhaustion, frightened, poisoned","cold, fire, poison",,all; telepathy 120 ft.,Buer,"bludgeoning, piercing, and slashing damage from nonmagical attacks that aren't silvered",Darkvision 120 ft.; ,Large,60 ft.
17,15.0,3 (-4),17 (+3),8 (-1),45.0,6 (-2),17 (+3),construct,10 (0),"construct, unaligned",2.0,"charmed, exhaustion, frightened, paralyzed, poisoned",poison,,understands commands given in any language but can't speak,Buckler Guardian,,"blindsight 10 ft., darkvision 60 ft., ",Medium,30 ft.
18,13.0,10 (+0),18 (+4),10 (+0),126.0,12 (+1),22 (+6),undead,16 (+3),chaotic evil,13.0,"exhaustion, poisoned, stunned","fire, poison","cold, slashing","Common, Druidic, Elvish, Sylvan",Burnt Treant,"bludgeoning, piercing from nonmagical attacks that aren't silvered","darkvision 60 ft., ",Huge,40 ft.
19,12.0,4 (-3),13 (+1),13 (+1),18.0,1 (-5),10 (+0),beast,11 (+0),"beast, unaligned",0.0,,,,—,Bubble Jellie,,,Small,"0 ft., fly 20 ft. (hover)"
20,14.0,16 (+3),12 (+1),20 (+5),20.0,12 (+1),14 (+2),humanoid,13 (+1),chaotic neutral,5.0,"Charmed, Exhausted, Frightened, Turned.",,Radiant,"— Common, Undercommon",Bruxa,"Necrotic, Poison.",,Medium,40
21,15.0,6 (-2),16 (+3),12 (+1),127.0,11 (+0),19 (+4),dragon,13 (+1),chaotic alignment,9.0,,,,Draconic,Burst Wyvern,,"darkvision 60 ft., ",Large,"20 ft., fly 80 ft."
22,17.0,14 (+2),28 (+9),18 (+4),248.0,14 (+2),28 (+9),giant,20 (+5),lawful good,11.0,,,,"Common, Giant",Cloud Giant Samurai,"bludgeoning, piercing and slashing from nonmagical attacks",,Huge,40 ft.
23,12.0,8 (-1),13 (+1),6 (-2),55.0,7 (-2),9 (-1),swarm,11 (+0),"constructs, neutral",2.0,"blinded, charmed, deafened, frightened, paralyzed, petrified, poisoned","poison, psychic",,Common,Clothes-Colony,"bludgeoning, piercing",,Medium,20 ft.
24,13.0,1 (-5),14 (+2),16 (+3),75.0,3 (-4),17 (+3),construct,6 (-2),"construct, unaligned",6.0,"charmed, exhaustion, frightened, paralysed, petrified, poisoned","poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks that aren't adamantine",,understands the languages of its creator but can't speak,Cloth Golem,fire,"darkvision 60 ft., ",Large,30 ft.
